input_text,target_text
Audio: Acoustic_guitar | Location: Home | Risk: Normal,Acoustic scan shows normal Acoustic_guitar presence in the Home.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar occurrence at the Embassies warrants increased observation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Unusual Acoustic_guitar activity reported in the Embassies. Monitor for updates.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Sound monitoring flagged a Acoustic_guitar in the Embassies. Stay alert.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,The Embassies registered a Acoustic_guitar sound that may need follow-up.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A suspicious Acoustic_guitar sound emerged from the Embassies. Further review needed.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Advisory: Acoustic_guitar sounds reported from the Embassies. Take precautions.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar occurrence at the Embassies warrants increased observation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar noise in the Embassies may indicate unusual activity. Exercise caution.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A suspicious Acoustic_guitar sound emerged from the Embassies. Further review needed.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,"A Acoustic_guitar was detected in the Embassies, possibly signaling a minor threat."
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Attention: Acoustic_guitar activity in the Embassies may suggest a developing situation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A potentially concerning Acoustic_guitar was picked up in the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Unusual Acoustic_guitar activity reported in the Embassies. Monitor for updates.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar occurrence at the Embassies warrants increased observation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Advisory: Acoustic_guitar sounds reported from the Embassies. Take precautions.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar noise in the Embassies may indicate unusual activity. Exercise caution.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Monitor the Embassies closely after detecting a Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,The presence of a Acoustic_guitar at the Embassies should not be ignored.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Initial detection of Acoustic_guitar in the Embassies could precede an escalation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Initial detection of Acoustic_guitar in the Embassies could precede an escalation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,"A Acoustic_guitar was heard at the Embassies, indicating a potential threat."
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar noise in the Embassies may indicate unusual activity. Exercise caution.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,The presence of a Acoustic_guitar at the Embassies should not be ignored.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,"A Acoustic_guitar was heard at the Embassies, indicating a potential threat."
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Initial detection of Acoustic_guitar in the Embassies could precede an escalation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Monitor the Embassies closely after detecting a Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Attention: Acoustic_guitar activity in the Embassies may suggest a developing situation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A potentially concerning Acoustic_guitar was picked up in the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Sound monitoring flagged a Acoustic_guitar in the Embassies. Stay alert.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar noise in the Embassies may indicate unusual activity. Exercise caution.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Unusual Acoustic_guitar activity reported in the Embassies. Monitor for updates.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,The Embassies registered a Acoustic_guitar sound that may need follow-up.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Unusual Acoustic_guitar activity reported in the Embassies. Monitor for updates.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar occurrence at the Embassies warrants increased observation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Monitor the Embassies closely after detecting a Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar noise in the Embassies may indicate unusual activity. Exercise caution.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,"A Acoustic_guitar was detected in the Embassies, possibly signaling a minor threat."
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Attention: Acoustic_guitar activity in the Embassies may suggest a developing situation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Unusual Acoustic_guitar activity reported in the Embassies. Monitor for updates.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Unusual Acoustic_guitar activity reported in the Embassies. Monitor for updates.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,"A Acoustic_guitar was detected in the Embassies, possibly signaling a minor threat."
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A suspicious Acoustic_guitar sound emerged from the Embassies. Further review needed.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A potentially concerning Acoustic_guitar was picked up in the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A suspicious Acoustic_guitar sound emerged from the Embassies. Further review needed.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar noise in the Embassies may indicate unusual activity. Exercise caution.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar occurrence at the Embassies warrants increased observation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Advisory: Acoustic_guitar sounds reported from the Embassies. Take precautions.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Advisory: Acoustic_guitar sounds reported from the Embassies. Take precautions.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A potentially concerning Acoustic_guitar was picked up in the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar occurrence at the Embassies warrants increased observation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,The Embassies registered a Acoustic_guitar sound that may need follow-up.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Attention: Acoustic_guitar activity in the Embassies may suggest a developing situation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Unusual Acoustic_guitar activity reported in the Embassies. Monitor for updates.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,The Embassies registered a Acoustic_guitar sound that may need follow-up.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Attention: Acoustic_guitar activity in the Embassies may suggest a developing situation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Monitor the Embassies closely after detecting a Acoustic_guitar sound.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar noise in the Embassies may indicate unusual activity. Exercise caution.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A suspicious Acoustic_guitar sound emerged from the Embassies. Further review needed.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Advisory: Acoustic_guitar sounds reported from the Embassies. Take precautions.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,"A Acoustic_guitar was detected in the Embassies, possibly signaling a minor threat."
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Sound monitoring flagged a Acoustic_guitar in the Embassies. Stay alert.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Initial detection of Acoustic_guitar in the Embassies could precede an escalation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,"A Acoustic_guitar was heard at the Embassies, indicating a potential threat."
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,The presence of a Acoustic_guitar at the Embassies should not be ignored.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Sound monitoring flagged a Acoustic_guitar in the Embassies. Stay alert.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A suspicious Acoustic_guitar sound emerged from the Embassies. Further review needed.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A suspicious Acoustic_guitar sound emerged from the Embassies. Further review needed.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Initial detection of Acoustic_guitar in the Embassies could precede an escalation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Attention: Acoustic_guitar activity in the Embassies may suggest a developing situation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,The Embassies registered a Acoustic_guitar sound that may need follow-up.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Sound monitoring flagged a Acoustic_guitar in the Embassies. Stay alert.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Attention: Acoustic_guitar activity in the Embassies may suggest a developing situation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Attention: Acoustic_guitar activity in the Embassies may suggest a developing situation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,The Embassies registered a Acoustic_guitar sound that may need follow-up.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,"A Acoustic_guitar was detected in the Embassies, possibly signaling a minor threat."
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Advisory: Acoustic_guitar sounds reported from the Embassies. Take precautions.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A potentially concerning Acoustic_guitar was picked up in the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Advisory: Acoustic_guitar sounds reported from the Embassies. Take precautions.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,The presence of a Acoustic_guitar at the Embassies should not be ignored.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,"A Acoustic_guitar was heard at the Embassies, indicating a potential threat."
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Acoustic_guitar occurrence at the Embassies warrants increased observation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Sound monitoring flagged a Acoustic_guitar in the Embassies. Stay alert.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A Acoustic_guitar sound could indicate early signs of a threat at the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Unusual Acoustic_guitar activity reported in the Embassies. Monitor for updates.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Advisory: Acoustic_guitar sounds reported from the Embassies. Take precautions.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Initial detection of Acoustic_guitar in the Embassies could precede an escalation.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,A potentially concerning Acoustic_guitar was picked up in the Embassies.
Audio: Acoustic_guitar | Location: Embassies | Risk: Potential Threat,Initial detection of Acoustic_guitar in the Embassies could precede an escalation.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,"A Acoustic_guitar was recorded in the Military, requiring urgent investigation."
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Detected a hazardous Acoustic_guitar at the Military. Stay away from the area.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Warning: Acoustic_guitar noise detected at the Military. It's classified as dangerous.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,The Military is experiencing a dangerous Acoustic_guitar event. Please evacuate or seek shelter.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Critical: Acoustic_guitar identified at the Military. Engage emergency protocols.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Emergency alert! A Acoustic_guitar was heard in the Military. Respond now.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Authorities have flagged the Acoustic_guitar sound at the Military as highly dangerous.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,A Acoustic_guitar sound in the Military signals a critical situation. Take action immediately.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Serious warning: A Acoustic_guitar sound was picked up in the Military. Act fast.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Risk alert: Dangerous Acoustic_guitar sounds at the Military demand immediate attention.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Serious warning: A Acoustic_guitar sound was picked up in the Military. Act fast.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,The Military is experiencing a dangerous Acoustic_guitar event. Please evacuate or seek shelter.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,A high-risk Acoustic_guitar sound was reported in the Military. Monitor the situation closely.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Immediate action advised: Acoustic_guitar sound from the Military poses severe risk.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Emergency alert! A Acoustic_guitar was heard in the Military. Respond now.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,A high-risk Acoustic_guitar sound was reported in the Military. Monitor the situation closely.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Risk alert: Dangerous Acoustic_guitar sounds at the Military demand immediate attention.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Warning: Acoustic_guitar noise detected at the Military. It's classified as dangerous.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,"A Acoustic_guitar sound was confirmed at the Military, triggering an emergency response."
Audio: Acoustic_guitar | Location: Military | Risk: Danger,"A Acoustic_guitar was recorded in the Military, requiring urgent investigation."
Audio: Acoustic_guitar | Location: Military | Risk: Danger,The Military is experiencing a dangerous Acoustic_guitar event. Please evacuate or seek shelter.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,"A Acoustic_guitar sound was confirmed at the Military, triggering an emergency response."
Audio: Acoustic_guitar | Location: Military | Risk: Danger,"A Acoustic_guitar was recorded in the Military, requiring urgent investigation."
Audio: Acoustic_guitar | Location: Military | Risk: Danger,A high-risk Acoustic_guitar sound was reported in the Military. Monitor the situation closely.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,The presence of Acoustic_guitar in the Military may indicate a serious threat.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,A potentially life-threatening Acoustic_guitar sound occurred in the Military. Urgent attention required.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Emergency alert! A Acoustic_guitar was heard in the Military. Respond now.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Detected a hazardous Acoustic_guitar at the Military. Stay away from the area.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Immediate action advised: Acoustic_guitar sound from the Military poses severe risk.
Audio: Acoustic_guitar | Location: Military | Risk: Danger,Emergency alert! A Acoustic_guitar was heard in the Military. Respond now.
